,3afterDHI,3afterDNI,3afterWS,3afterRH,3afterT,3afterTARGET,2afterDHI,2afterDNI,2afterWS,2afterRH,2afterT,2afterTARGET,1afterDHI,1afterDNI,1afterWS,1afterRH,1afterT,1afterTARGET,0afterDHI,0afterDNI,0afterWS,0afterRH,0afterT,0afterTARGET
288,0.0,0.0,1.1,59.09,0.1,0.0,0.0,0.0,2.4,57.25,-6.0,0.0,0.0,0.0,2.1,52.83,-4.4,0.0,0,0,0.8,80.92,-2.8,0.0
289,0.0,0.0,1.2,61.2,-0.4,0.0,0.0,0.0,2.4,57.25,-6.0,0.0,0.0,0.0,2.0,54.44,-4.8,0.0,0,0,0.9,81.53,-2.9,0.0
290,0.0,0.0,1.3,65.76,-0.8,0.0,0.0,0.0,2.5,55.26,-6.1,0.0,0.0,0.0,1.9,52.78,-5.1,0.0,0,0,1.0,79.91,-3.0,0.0
291,0.0,0.0,1.4,66.24,-0.9,0.0,0.0,0.0,2.5,55.26,-6.1,0.0,0.0,0.0,1.8,53.59,-5.3,0.0,0,0,0.9,79.91,-3.0,0.0
292,0.0,0.0,1.5,69.7,-1.0,0.0,0.0,0.0,2.6,54.25,-6.0,0.0,0.0,0.0,1.7,52.63,-5.5,0.0,0,0,0.9,77.2,-3.0,0.0
293,0.0,0.0,1.6,69.7,-1.0,0.0,0.0,0.0,2.6,53.84,-5.9,0.0,0.0,0.0,1.6,52.63,-5.5,0.0,0,0,1.1,78.36,-3.2,0.0
294,0.0,0.0,1.7,68.17,-1.0,0.0,0.0,0.0,2.6,54.41,-5.9,0.0,0.0,0.0,1.5,53.11,-5.6,0.0,0,0,1.2,76.78,-3.4,0.0
295,0.0,0.0,1.8,67.68,-0.9,0.0,0.0,0.0,2.6,53.59,-5.7,0.0,0.0,0.0,1.4,52.71,-5.5,0.0,0,0,1.8,77.93,-3.6,0.0
296,0.0,0.0,2.0,64.3,-0.7,0.0,0.0,0.0,2.5,54.62,-5.6,0.0,0.0,0.0,1.3,53.63,-5.5,0.0,0,0,2.4,76.89,-3.8,0.0
297,0.0,0.0,2.0,63.91,-0.6,0.0,0.0,0.0,2.5,54.27,-5.5,0.0,0.0,0.0,1.2,53.23,-5.4,0.0,0,0,2.9,78.64,-4.1,0.0
