,Day,Hour,Minute,DHI,DNI,WS,RH,T,TARGET,SEASON
0,0,0,0,0,0,1.5,69.08,-12,0.0,3.0
1,0,0,30,0,0,1.5,69.06,-12,0.0,3.0
2,0,1,0,0,0,1.6,71.78,-12,0.0,3.0
3,0,1,30,0,0,1.6,71.75,-12,0.0,3.0
4,0,2,0,0,0,1.6,75.2,-12,0.0,3.0
5,0,2,30,0,0,1.5,69.29,-11,0.0,3.0
6,0,3,0,0,0,1.5,72.56,-11,0.0,3.0
7,0,3,30,0,0,1.4,72.55,-11,0.0,3.0
8,0,4,0,0,0,1.3,74.62,-11,0.0,3.0
9,0,4,30,0,0,1.3,74.61,-11,0.0,3.0
10,0,5,0,0,0,1.3,73.74,-11,0.0,3.0
11,0,5,30,0,0,1.3,73.73,-11,0.0,3.0
12,0,6,0,0,0,1.4,72.22,-12,0.0,3.0
13,0,6,30,0,0,1.4,72.22,-12,0.0,3.0
14,0,7,0,0,0,1.4,70.27,-12,0.0,3.0
15,0,7,30,0,0,1.6,64.83,-10,0.0,3.0
16,0,8,0,29,494,1.8,65.45,-9,7.039286991,3.0
17,0,8,30,61,7,1.9,55.9,-7,5.912871119,3.0
18,0,9,0,58,743,2.1,57.39,-6,22.33726765,3.0
19,0,9,30,67,811,1.9,53.15,-4,29.46952894,3.0
20,0,10,0,138,368,1.8,55.99,-3,25.33976234,3.0
21,0,10,30,178,224,1.9,55.97,-3,25.1520604,3.0
22,0,11,0,193,261,2.0,58.43,-3,28.71839732,3.0
23,0,11,30,189,364,2.3,58.41,-3,33.12939298,3.0
24,0,12,0,190,37,2.6,59.19,-3,19.42715113,3.0
25,0,12,30,213,133,2.9,59.18,-3,25.71516623,3.0
26,0,13,0,211,114,3.2,63.27,-4,24.58922479,3.0
27,0,13,30,185,101,3.1,63.27,-4,21.30440468,3.0
28,0,14,0,124,2,3.0,62.84,-4,11.73150038,3.0
29,0,14,30,135,69,2.7,62.85,-4,14.73476447,3.0
30,0,15,0,62,0,2.5,68.55,-5,5.8188881310000005,3.0
31,0,15,30,73,39,2.2,68.55,-5,7.602095783999999,3.0
32,0,16,0,41,11,2.0,70.27,-6,4.035724827,3.0
33,0,16,30,10,0,2.0,70.28,-6,0.938540658,3.0
34,0,17,0,0,0,2.0,71.33,-7,0.0,3.0
35,0,17,30,0,0,2.0,71.35,-7,0.0,3.0
36,0,18,0,0,0,2.1,76.43,-8,0.0,3.0
